# Initial mass = 1.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.651, Mass expelled =   0.3490
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i) 
 zr  40   2.145495 -0.384505  0.317341  9.17484E-09  2.41418E-09  4.66082E-09
 nb  41   0.986958 -0.423042  0.278803  6.48628E-10  1.55932E-10  3.29503E-10
 mo  42   1.415697 -0.524303  0.177542  1.79759E-09  4.53726E-10  9.13178E-10
 ru  44   1.186094 -0.573906  0.127939  1.11612E-09  2.54310E-10  5.66989E-10
 rh  45   0.449954 -0.610046  0.091799  2.08636E-10  2.01123E-11  1.05987E-10
 pd  46   1.161777 -0.488223  0.213622  1.11120E-09  2.63009E-10  5.64492E-10
 ag  47   0.619968 -0.580032  0.121814  3.23486E-10  4.00755E-11  1.64331E-10
 cd  48   1.290154 -0.419846  0.282000  1.57745E-09  4.18953E-10  8.01347E-10
 in  49   0.261914 -0.498086  0.203759  1.50980E-10  3.07365E-11  7.66978E-11
 sn  50   1.702274 -0.367726  0.334120  4.30285E-09  1.30788E-09  2.18585E-09
 sb  51   0.321733 -0.688267  0.013578  1.83752E-10  4.15379E-11  9.33458E-11
 te  52   1.359567 -0.820433 -0.118588  2.10093E-09  5.88753E-10  1.06727E-09
  i  53   0.893332 -0.656667  0.045178  7.14170E-10  3.55382E-11  3.62798E-10
 xe  54   1.686640 -0.553360  0.148485  4.59067E-09  8.09472E-10  2.33206E-09
 cs  55   0.539468 -0.540532  0.161313  3.31134E-10  5.20804E-11  1.68216E-10
 ba  56   2.251333  0.071333  0.773178  1.76232E-08  7.44498E-09  8.95256E-09
 la  57   1.267920  0.097921  0.799766  1.85198E-09  7.91610E-10  9.40805E-10
 ce  58   1.766096  0.186096  0.887941  5.88272E-09  2.60294E-09  2.98842E-09
 pr  59   0.747130 -0.012870  0.688976  5.66317E-10  2.28756E-10  2.87689E-10
 nd  60   1.544775  0.094775  0.796620  3.63794E-09  1.56913E-09  1.84807E-09
 sm  62   0.797419 -0.142581  0.559264  6.78493E-10  2.74067E-10  3.44674E-10
 eu  63   0.007131 -0.502869  0.198976  1.11139E-10  2.07176E-11  5.64586E-11
 gd  64   0.732756 -0.317244  0.384601  6.11421E-10  1.82364E-10  3.10602E-10
 tb  65  -0.142488 -0.462488  0.239358  8.23567E-11  1.77037E-11  4.18372E-11
 dy  66   0.852702 -0.277298  0.424547  8.32817E-10  2.63988E-10  4.23071E-10
 ho  67  -0.003848 -0.473848  0.227997  1.17611E-10  2.43689E-11  5.97461E-11
 er  68   0.658031 -0.261970  0.439876  5.47538E-10  1.78794E-10  2.78150E-10
 tm  69  -0.214693 -0.334693  0.367152  7.41343E-11  2.14742E-11  3.76602E-11
 yb  70   0.904553 -0.015447  0.686399  9.99295E-10  4.16746E-10  5.07642E-10
 lu  71   0.004431 -0.085569  0.616276  1.27169E-10  4.89567E-11  6.46018E-11
 hf  72   0.862559  0.152559  0.854405  9.35767E-10  4.08945E-10  4.75369E-10
 ta  73  -0.042855  0.077145  0.778990  1.17949E-10  4.99427E-11  5.99179E-11
  w  74   0.808617  0.158617  0.860462  8.51237E-10  3.72815E-10  4.32428E-10
 re  75  -0.023106 -0.283106  0.418740  1.27024E-10  3.99006E-11  6.45280E-11
 os  76   1.005792 -0.344208  0.357637  1.38696E-09  3.95108E-10  7.04578E-10
 ir  77   0.689980 -0.630020  0.071825  6.77276E-10  5.21670E-11  3.44056E-10
