# Initial mass = 1.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.651, Mass expelled =   0.3490
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i) 
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  6.86438E-01 -2.41077E-01  2.48079E+00
 he   2  11.056149  0.126149  0.806679  3.10224E-01  2.17012E-01  1.12115E+00
  c   6   8.186426 -0.283574  0.396955  1.25645E-03  2.70801E-03  4.54082E-03
  n   7   8.755276  0.885276  1.565805  5.42953E-03  1.90854E-02  1.96223E-02
  o   8   8.010505 -0.719495 -0.038965  1.11619E-03 -3.49027E-04  4.03391E-03
  f   9   4.073561 -0.386439  0.294090  1.53253E-07  2.70557E-07  5.53858E-07
 ne  10   7.465776 -0.504224  0.176306  4.01641E-04  4.77739E-04  1.45153E-03
 na  11   5.977092 -0.332908  0.347622  1.48516E-05  2.94020E-05  5.36736E-05
 mg  12   7.013508 -0.626492  0.054038  1.70744E-04  6.84893E-05  6.17068E-04
 al  13   5.864953 -0.605047  0.075483  1.34638E-05  7.48423E-06  4.86583E-05
 si  14   6.884850 -0.665150  0.015379  1.46717E-04  1.49604E-05  5.30236E-04
  p  15   4.832202 -0.637798  0.042732  1.43331E-06  4.53410E-07  5.17998E-06
  s  16   6.480359 -0.679641  0.000889  6.59981E-05 -1.13386E-06  2.38517E-04
 cl  17   4.571458 -0.658542  0.021988  9.00021E-07  1.39528E-07  3.25268E-06
 ar  18   5.759967 -0.680033  0.000497  1.56532E-05 -3.19371E-07  5.65707E-05
  k  19   4.410924 -0.669076  0.011454  6.85835E-07  5.12789E-08  2.47861E-06
 ca  20   5.608771 -0.681229 -0.000699  1.10871E-05 -3.36557E-07  4.00688E-05
 sc  21   2.468890 -0.581110  0.099420  9.01196E-09  6.48759E-09  3.25692E-08
 ti  22   4.232949 -0.677051  0.003479  5.57349E-07  2.45996E-09  2.01426E-06
  v  23   3.275855 -0.684145 -0.003615  6.54745E-08 -3.00253E-09  2.36625E-07
 cr  24   4.941433 -0.698567 -0.018037  3.09417E-06 -4.37203E-08  1.11823E-05
 mn  25   4.799231 -0.680769 -0.000239  2.35638E-06 -6.28461E-08  8.51595E-06
 fe  26   6.859470 -0.680530  0.000000  2.75167E-04 -6.77072E-06  9.94453E-04
 co  27   4.456702 -0.413298  0.267232  1.14869E-06  1.89242E-06  4.15136E-06
 ni  28   5.559272 -0.640728  0.039802  1.44877E-05  4.25942E-06  5.23585E-05
 cu  29   3.905783 -0.344217  0.336312  3.48347E-07  6.74627E-07  1.25893E-06
 zn  30   4.020434 -0.609566  0.070963  4.66889E-07  2.44588E-07  1.68734E-06
 ga  31   2.644804 -0.435196  0.245334  2.09566E-08  3.23938E-08  7.57373E-08
 ge  32   3.081661 -0.498339  0.182191  5.97005E-08  8.38262E-08  2.15758E-07
 as  33   1.742043 -0.557956  0.122573  2.81705E-09  2.45127E-09  1.01808E-08
 se  34   2.842129 -0.497871  0.182658  3.73832E-08  5.43743E-08  1.35103E-07
 br  35   2.040380 -0.499620  0.180909  5.97159E-09  7.25534E-09  2.15813E-08
 kr  36   2.794560 -0.455440  0.225090  3.55579E-08  5.17331E-08  1.28506E-07
 rb  37   2.037639 -0.322361  0.358168  6.34722E-09  1.28146E-08  2.29389E-08
 sr  38   2.350306 -0.529695  0.150835  1.33675E-08  1.41344E-08  4.83102E-08
  y  39   1.614708 -0.555292  0.125237  2.49334E-09  2.21109E-09  9.01092E-09
 zr  40   1.932724 -0.597276  0.083254  5.32078E-09  3.24630E-09  1.92293E-08
 nb  41   0.795706 -0.614294  0.066235  3.95268E-10  1.93685E-10  1.42850E-09
 mo  42   1.206029 -0.733971 -0.053442  1.04995E-09  5.25912E-10  3.79453E-09
 ru  44   0.977431 -0.782569 -0.102039  6.53423E-10  1.37020E-10  2.36147E-09
 rh  45   0.381511 -0.678489  0.002040  1.68691E-10 -1.27615E-12  6.09651E-10
 pd  46   0.929051 -0.720949 -0.040419  6.15483E-10  7.95557E-11  2.22436E-09
 ag  47   0.521408 -0.678592  0.001938  2.44030E-10 -2.05147E-12  8.81923E-10
 cd  48   1.006464 -0.703536 -0.023006  7.76987E-10  8.76155E-11  2.80803E-09
 in  49   0.066665 -0.693335 -0.012806  9.11625E-11  2.48485E-12  3.29461E-10
 sn  50   1.344817 -0.725183 -0.044653  1.78832E-09  2.17005E-10  6.46300E-09
 sb  51   0.092880 -0.917120 -0.236590  1.02690E-10  2.54957E-12  3.71120E-10
 te  52   1.044022 -1.135978 -0.455449  9.61641E-10  7.10885E-11  3.47537E-09
  i  53   0.864442 -0.685558 -0.005028  6.32496E-10 -4.23428E-11  2.28584E-09
 xe  54   1.527664 -0.712336 -0.031806  3.01334E-09  5.82467E-11  1.08902E-08
 cs  55   0.399980 -0.680020  0.000509  2.27333E-10 -4.62713E-12  8.21581E-10
 ba  56   1.525199 -0.654801  0.025728  3.13398E-09  6.01029E-10  1.13262E-08
 la  57   0.500747 -0.669253  0.011276  2.99647E-10  2.15264E-11  1.08292E-09
 ce  58   0.908848 -0.671152  0.009377  7.73529E-10  5.31137E-11  2.79553E-09
 pr  59   0.083335 -0.676665  0.003865  1.16255E-10  8.85930E-13  4.20147E-10
 nd  60   0.748205 -0.701795 -0.021265  5.50089E-10  3.61200E-12  1.98802E-09
 sm  62   0.130810 -0.809190 -0.128661  1.38383E-10 -2.19236E-12  5.00118E-10
 eu  63  -0.176418 -0.686418 -0.005889  6.89389E-11 -5.12229E-12  2.49145E-10
 gd  64   0.366345 -0.683655 -0.003125  2.48930E-10 -1.26714E-11  8.99634E-10
 tb  65  -0.365637 -0.685637 -0.005107  4.66334E-11 -3.15716E-12  1.68533E-10
 dy  66   0.446319 -0.683681 -0.003152  3.09253E-10 -1.41032E-11  1.11764E-09
 ho  67  -0.215590 -0.685590 -0.005060  6.83679E-11 -4.59857E-12  2.47082E-10
 er  68   0.230412 -0.689588 -0.009058  1.93617E-10 -7.09893E-12  6.99731E-10
 tm  69  -0.563772 -0.683772 -0.003243  3.14113E-11 -1.62979E-12  1.13520E-10
 yb  70   0.185035 -0.734965 -0.054436  1.80436E-10  5.44981E-12  6.52096E-10
 lu  71  -0.588397 -0.678397  0.002133  3.07398E-11 -2.08777E-13  1.11094E-10
 hf  72   0.040503 -0.669497  0.011032  1.33432E-10  9.66655E-12  4.82222E-10
 ta  73  -0.793369 -0.673369  0.007160  1.98301E-11  7.00301E-13  7.16661E-11
  w  74  -0.019531 -0.669531  0.010998  1.19688E-10  8.45385E-12  4.32552E-10
 re  75  -0.422262 -0.682262 -0.001733  4.79597E-11 -1.87732E-12  1.73326E-10
 os  76   0.666469 -0.683531 -0.003002  6.01021E-10 -2.95319E-11  2.17209E-09
 ir  77   0.633186 -0.686814 -0.006284  5.62497E-10 -4.36864E-11  2.03286E-09
 pt  78   0.903035 -0.716965 -0.036435  1.06264E-09 -6.28000E-11  3.84037E-09
 au  79   0.115487 -0.684513 -0.003983  1.74994E-10 -1.01787E-11  6.32427E-10
 hg  80   0.475580 -0.694420 -0.013890  4.08348E-10  4.93684E-11  1.47577E-09
 tl  81   0.120576 -0.649424  0.031106  1.83722E-10  4.16808E-11  6.63973E-10
 pb  82   1.371471 -0.668529  0.012001  3.31897E-09  2.47535E-10  1.19948E-08
 bi  83  -0.023546 -0.673546  0.006983  1.34803E-10  4.50268E-12  4.87179E-10
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.2749   0.1198   0.0155  -0.1043  -0.0035
# Initial mass = 4.500, Z =  0.0028, Y =  0.250, M_mix = 1.00E-04
# Final mass = 0.886, Mass expelled =   3.6140
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  6.86384E-01 -2.41274E-01  2.48059E+00
 he   2  11.056249  0.126248  0.806839  3.10271E-01  2.17181E-01  1.12132E+00
  c   6   8.186647 -0.283353  0.397238  1.25700E-03  2.70997E-03  4.54278E-03
  n   7   8.754509  0.884509  1.565100  5.41951E-03  1.90492E-02  1.95861E-02
  o   8   8.013823 -0.716177 -0.035586  1.12466E-03 -3.18410E-04  4.06453E-03
  f   9   4.106637 -0.353364  0.327227  1.65368E-07  3.14339E-07  5.97640E-07
 ne  10   7.469783 -0.500217  0.180374  4.05332E-04  4.91076E-04  1.46487E-03
 na  11   5.978626 -0.331374  0.349217  1.49030E-05  2.95876E-05  5.38593E-05
 mg  12   7.015274 -0.624726  0.055865  1.71426E-04  7.09548E-05  6.19534E-04
 al  13   5.864686 -0.605313  0.075277  1.34545E-05  7.45054E-06  4.86246E-05
 si  14   6.884960 -0.665040  0.015551  1.46743E-04  1.50531E-05  5.30329E-04
  p  15   4.842959 -0.627040  0.053550  1.46914E-06  5.82898E-07  5.30947E-06
  s  16   6.480449 -0.679551  0.001040  6.60065E-05 -1.10330E-06  2.38548E-04
 cl  17   4.571614 -0.658386  0.022205  9.00273E-07  1.40438E-07  3.25359E-06
 ar  18   5.759910 -0.680090  0.000500  1.56499E-05 -3.31383E-07  5.65587E-05
  k  19   4.410892 -0.669108  0.011482  6.85730E-07  5.08992E-08  2.47823E-06
 ca  20   5.608712 -0.681288 -0.000697  1.10847E-05 -3.45164E-07  4.00602E-05
 sc  21   2.471687 -0.578313  0.102278  9.06948E-09  6.69547E-09  3.27771E-08
 ti  22   4.234090 -0.675910  0.004681  5.58771E-07  7.59906E-09  2.01940E-06
  v  23   3.276419 -0.683581 -0.002991  6.55544E-08 -2.71373E-09  2.36914E-07
 cr  24   4.941468 -0.698532 -0.017941  3.09417E-06 -4.37030E-08  1.11823E-05
 mn  25   4.799021 -0.680979 -0.000389  2.35505E-06 -6.76382E-08  8.51116E-06
 fe  26   6.859409 -0.680591  0.000000  2.75106E-04 -6.98946E-06  9.94234E-04
 co  27   4.456425 -0.413575  0.267016  1.14786E-06  1.88945E-06  4.14838E-06
 ni  28   5.558464 -0.641536  0.039054  1.44596E-05  4.15795E-06  5.22571E-05
 cu  29   3.900764 -0.349236  0.331354  3.44317E-07  6.60062E-07  1.24436E-06
 zn  30   4.019621 -0.610379  0.070212  4.65979E-07  2.41301E-07  1.68405E-06
 ga  31   2.645725 -0.434275  0.246316  2.09995E-08  3.25486E-08  7.58921E-08
 ge  32   3.086302 -0.493698  0.186893  6.03372E-08  8.61270E-08  2.18058E-07
 as  33   1.747532 -0.552468  0.128123  2.85265E-09  2.57992E-09  1.03095E-08
 se  34   2.860780 -0.479220  0.201370  3.90206E-08  6.02918E-08  1.41020E-07
 br  35   2.058259 -0.481741  0.198850  6.22207E-09  8.16056E-09  2.24865E-08
 kr  36   2.961616 -0.288384  0.392206  5.22343E-08  1.12002E-07  1.88775E-07
 rb  37   2.188202 -0.171798  0.508793  8.97662E-09  2.23172E-08  3.24415E-08
 sr  38   2.598855 -0.281145  0.399446  2.36900E-08  5.14400E-08  8.56158E-08
  y  39   1.970945 -0.199055  0.481536  5.66219E-09  1.36633E-08  2.04631E-08
 zr  40   2.381332 -0.148668  0.531923  1.49468E-08  3.80348E-08  5.40178E-08
 nb  41   1.211951 -0.198049  0.482542  1.03063E-09  2.48987E-09  3.72469E-09
 mo  42   1.716128 -0.223872  0.456719  3.39810E-09  9.01210E-09  1.22807E-08
 ru  44   1.338902 -0.421098  0.259492  1.50187E-09  3.20329E-09  5.42775E-09
 rh  45   0.512533 -0.547467  0.133124  2.28077E-10  2.13342E-10  8.24269E-10
 pd  46   1.251129 -0.398871  0.281720  1.29199E-09  2.52446E-09  4.66926E-09
 ag  47   0.667472 -0.532528  0.148062  3.41564E-10  3.50437E-10  1.23441E-09
 cd  48   1.359641 -0.350359  0.330232  1.75209E-09  3.61165E-09  6.33207E-09
 in  49   0.317060 -0.442940  0.237650  1.62247E-10  2.59384E-10  5.86360E-10
 sn  50   1.808026 -0.261974  0.418617  5.19543E-09  1.25303E-08  1.87763E-08
 sb  51   0.417699 -0.592301  0.088289  2.16926E-10  4.15399E-10  7.83969E-10
 te  52   1.475348 -0.704652 -0.024061  2.59601E-09  5.97771E-09  9.38199E-09
  i  53   0.930753 -0.619247  0.061343  7.36775E-10  3.34521E-10  2.66271E-09
 xe  54   1.835246 -0.404754  0.275837  6.11780E-09  1.12778E-08  2.21097E-08
 cs  55   0.616934 -0.463066  0.217524  3.74613E-10  5.27642E-10  1.35385E-09
 ba  56   2.368670  0.188670  0.869261  2.18541E-08  6.82556E-08  7.89808E-08
 la  57   1.340663  0.170663  0.851254  2.07249E-09  6.42857E-09  7.48997E-09
 ce  58   1.879895  0.299895  0.980486  7.23586E-09  2.34080E-08  2.61504E-08
 pr  59   0.866441  0.106441  0.787031  7.05477E-10  2.13033E-09  2.54959E-09
 nd  60   1.573898  0.123898  0.804489  3.68207E-09  1.13226E-08  1.33070E-08
 sm  62   0.843907 -0.096093  0.584498  7.14737E-10  2.08075E-09  2.58306E-09
 eu  63   0.057990 -0.452010  0.228581  1.18260E-10  1.73124E-10  4.27392E-10
 gd  64   0.816854 -0.233146  0.447444  7.02345E-10  1.62597E-09  2.53828E-09
 tb  65  -0.081419 -0.401419  0.279172  8.97181E-11  1.52551E-10  3.24241E-10
 dy  66   0.925491 -0.204509  0.476082  9.32077E-10  2.23678E-09  3.36853E-09
 ho  67   0.050727 -0.419273  0.261318  1.26222E-10  2.04485E-10  4.56165E-10
 er  68   0.759339 -0.160661  0.519930  6.54389E-10  1.65813E-09  2.36496E-09
 tm  69  -0.142537 -0.262537  0.418054  8.28491E-11  1.84266E-10  2.99417E-10
 yb  70   1.021906  0.101906  0.782497  1.23925E-09  3.83200E-09  4.47865E-09
 lu  71   0.103906  0.013906  0.694496  1.51345E-10  4.35660E-10  5.46962E-10
 hf  72   0.999758  0.289758  0.970348  1.21473E-09  3.91747E-09  4.39002E-09
 ta  73   0.069462  0.189462  0.870052  1.44585E-10  4.51564E-10  5.22530E-10
  w  74   0.935784  0.285784  0.966375  1.07977E-09  3.47819E-09  3.90229E-09
 re  75   0.130367 -0.129633  0.550958  1.71187E-10  4.43467E-10  6.18670E-10
 os  76   1.082260 -0.267740  0.412851  1.56548E-09  3.45601E-09  5.65763E-09
 ir  77   0.726405 -0.593595  0.086996  6.97115E-10  4.42824E-10  2.51937E-09
 pt  78   1.157970 -0.462030  0.218561  1.91111E-09  3.00358E-09  6.90675E-09
 au  79   0.371647 -0.428353  0.252237  3.15607E-10  4.97999E-10  1.14061E-09
 hg  80   1.368978  0.198978  0.879568  3.19444E-09  1.01183E-08  1.15447E-08
 tl  81   1.182992  0.412992  1.093583  2.12102E-09  7.04306E-09  7.66535E-09
 pb  82   3.066785  1.026785  1.707376  1.64544E-07  5.82913E-07  5.94661E-07
 bi  83   1.544945  0.894945  1.575535  4.99065E-09  1.75535E-08  1.80362E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.0231   0.4710   0.9003   0.4294   0.8070
# Initial mass = 5.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00, VW93
# Final mass = 0.923, Mass expelled =   4.0770
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  6.42079E-01 -4.52815E-01  2.61776E+00
 he   2  11.133833  0.203833  0.863547  3.47014E-01  3.94806E-01  1.41478E+00
  c   6   8.108510 -0.361490  0.298224  9.82239E-04  1.93697E-03  4.00459E-03
  n   7   9.166532  1.296532  1.956246  1.30920E-02  5.27702E-02  5.33759E-02
  o   8   7.724393 -1.005606 -0.345892  5.40275E-04 -2.74175E-03  2.20270E-03
  f   9   3.566883 -0.893117 -0.233403  4.46396E-08 -1.37600E-07  1.81996E-07
 ne  10   7.715796 -0.254204  0.405510  6.68107E-04  1.62532E-03  2.72387E-03
 na  11   6.073568 -0.236432  0.423282  1.73474E-05  4.33444E-05  7.07255E-05
 mg  12   7.246678 -0.393322  0.266392  2.73213E-04  4.95032E-04  1.11389E-03
 al  13   6.161374 -0.308626  0.351088  2.49216E-05  5.51565E-05  1.01605E-04
 si  14   6.934907 -0.615093  0.044621  1.54002E-04  4.65766E-05  6.27866E-04
  p  15   5.019257 -0.450743  0.208972  2.06245E-06  3.07649E-06  8.40860E-06
  s  16   6.504996 -0.655004  0.004710  6.53364E-05 -3.97660E-06  2.66377E-04
 cl  17   4.621303 -0.608697  0.051017  9.44244E-07  3.37699E-07  3.84968E-06
 ar  18   5.785026 -0.654974  0.004740  1.55113E-05 -9.38686E-07  6.32397E-05
  k  19   4.459521 -0.620479  0.039236  7.17471E-07  1.86829E-07  2.92513E-06
 ca  20   5.630891 -0.659109  0.000605  1.09125E-05 -1.09147E-06  4.44904E-05
 sc  21   2.658977 -0.391023  0.268691  1.30585E-08  2.38164E-08  5.32394E-08
 ti  22   4.265770 -0.644230  0.015484  5.62257E-07  2.27856E-08  2.29232E-06
  v  23   3.299724 -0.660276 -0.000562  6.47035E-08 -6.53020E-09  2.63796E-07
 cr  24   4.965017 -0.674983 -0.015269  3.05573E-06 -2.06023E-07  1.24582E-05
 mn  25   4.819443 -0.660557 -0.000843  2.30911E-06 -2.63626E-07  9.41422E-06
 fe  26   6.880286 -0.659714  0.000000  2.70022E-04 -2.86150E-05  1.10088E-03
 co  27   4.636120 -0.233880  0.425835  1.62408E-06  4.07303E-06  6.62137E-06
 ni  28   5.684263 -0.515737  0.143977  1.80708E-05  1.94134E-05  7.36747E-05
 cu  29   4.376128  0.126128  0.785842  9.62376E-07  3.26445E-06  3.92361E-06
 zn  30   4.320103 -0.309897  0.349817  8.70701E-07  1.92226E-06  3.54985E-06
 ga  31   3.243048  0.163048  0.822762  7.77234E-08  2.67982E-07  3.16878E-07
 ge  32   3.676503  0.096503  0.756217  2.19689E-07  7.46839E-07  8.95672E-07
 as  33   2.224319 -0.075681  0.584033  7.99938E-09  2.38937E-08  3.26135E-08
 se  34   3.512254  0.172254  0.831968  1.63602E-07  5.75936E-07  6.67007E-07
 br  35   2.664212  0.124212  0.783926  2.34914E-08  7.96133E-08  9.57746E-08
 kr  36   3.628315  0.378315  1.038029  2.26818E-07  8.38128E-07  9.24737E-07
 rb  37   3.004318  0.644318  1.304033  5.49857E-08  2.12755E-07  2.24177E-07
 sr  38   3.130548  0.250547  0.910262  7.53839E-08  2.68786E-07  3.07340E-07
  y  39   2.391788  0.221788  0.881503  1.39588E-08  4.92391E-08  5.69101E-08
 zr  40   2.634549  0.104549  0.764263  2.50488E-08  8.40933E-08  1.02124E-07
 nb  41   1.427310  0.017310  0.677024  1.58301E-09  5.06091E-09  6.45391E-09
 mo  42   1.859200 -0.080800  0.578915  4.41906E-09  1.43291E-08  1.80165E-08
 ru  44   1.441383 -0.318617  0.341098  1.77883E-09  4.74286E-09  7.25229E-09
 rh  45   0.563481 -0.496519  0.163196  2.39912E-10  2.88925E-10  9.78119E-10
 pd  46   1.313806 -0.336194  0.323520  1.39623E-09  3.27287E-09  5.69244E-09
 ag  47   0.702875 -0.497125  0.162589  3.46655E-10  4.16087E-10  1.41331E-09
 cd  48   1.371668 -0.338332  0.321382  1.68502E-09  3.80090E-09  6.86984E-09
 in  49   0.310270 -0.449730  0.209985  1.49420E-10  2.40320E-10  6.09186E-10
 sn  50   1.687725 -0.382275  0.277439  3.68418E-09  7.97423E-09  1.50204E-08
 sb  51   0.289777 -0.720223 -0.060509  1.51151E-10  2.00453E-10  6.16242E-10
 te  52   1.285019 -0.894981 -0.235267  1.56674E-09  2.54720E-09  6.38762E-09
  i  53   0.905837 -0.644163  0.015551  6.50790E-10  2.68143E-11  2.65327E-09
 xe  54   1.667706 -0.572294  0.087420  3.89113E-09  3.64447E-09  1.58642E-08
 cs  55   0.490447 -0.589553  0.070161  2.61889E-10  1.35665E-10  1.06772E-09
 ba  56   1.818525 -0.361475  0.298239  5.75984E-09  1.13836E-08  2.34829E-08
 la  57   0.677928 -0.492072  0.167642  4.21481E-10  5.21003E-10  1.71838E-09
 ce  58   1.068193 -0.511807  0.147908  1.04426E-09  1.16370E-09  4.25746E-09
 pr  59   0.188503 -0.571497  0.088217  1.38538E-10  9.18448E-11  5.64818E-10
 nd  60   0.842386 -0.607614  0.052100  6.39146E-10  3.67164E-10  2.60580E-09
 sm  62   0.202497 -0.737503 -0.077789  1.52671E-10  5.57793E-11  6.22442E-10
 eu  63  -0.153614 -0.663614 -0.003900  6.79604E-11 -9.76783E-12  2.77075E-10
 gd  64   0.409006 -0.640994  0.018720  2.56877E-10  1.81050E-11  1.04729E-09
 tb  65  -0.338565 -0.658565  0.001149  4.64254E-11 -4.40939E-12  1.89277E-10
 dy  66   0.490098 -0.639902  0.019812  3.19949E-10  2.76981E-11  1.30443E-09
 ho  67  -0.189809 -0.659809 -0.000095  6.78610E-11 -7.25434E-12  2.76669E-10
 er  68   0.277745 -0.642255  0.017459  2.01959E-10  2.60026E-11  8.23387E-10
 tm  69  -0.528131 -0.648131  0.011584  3.18945E-11  1.31284E-13  1.30034E-10
 yb  70   0.266690 -0.653310  0.006404  2.03688E-10  1.00946E-10  8.30436E-10
 lu  71  -0.528590 -0.618590  0.041124  3.29985E-11  8.97349E-12  1.34535E-10
 hf  72   0.138656 -0.571344  0.088370  1.56458E-10  1.04784E-10  6.37880E-10
 ta  73  -0.713907 -0.593907  0.065807  2.22728E-11  1.07489E-11  9.08063E-11
  w  74   0.073380 -0.576620  0.083095  1.38659E-10  8.68836E-11  5.65315E-10
 re  75  -0.380824 -0.640824  0.018890  4.93516E-11  3.55721E-12  2.01207E-10
 os  76   0.699975 -0.650025  0.009689  6.07272E-10 -7.83063E-12  2.47585E-09
 ir  77   0.650616 -0.669384 -0.009670  5.47691E-10 -1.09644E-10  2.23294E-09
 pt  78   0.931114 -0.688886 -0.029172  1.06035E-09 -8.01545E-11  4.32306E-09
 au  79   0.139938 -0.660062 -0.000347  1.73165E-10 -1.89366E-11  7.05995E-10
 hg  80   0.545196 -0.624804  0.034910  4.48366E-10  2.18848E-10  1.82799E-09
 tl  81   0.208248 -0.561752  0.097962  2.10291E-10  1.55342E-10  8.57358E-10
 pb  82   1.436106 -0.603894  0.055820  3.60267E-09  1.43592E-09  1.46881E-08
 bi  83   0.031070 -0.618930  0.040784  1.42989E-10  3.84535E-11  5.82967E-10
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.5398   0.8520   0.2046  -0.6474  -0.1488
# Initial mass = 5.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00, B95
# Final mass = 0.914, Mass expelled =   4.0860
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  6.72761E-01 -3.28449E-01  2.74890E+00
 he   2  11.085146  0.155146  0.826284  3.25036E-01  3.05876E-01  1.32810E+00
  c   6   7.978707 -0.491293  0.179845  7.63284E-04  1.04659E-03  3.11878E-03
  n   7   8.721766  0.851766  1.522904  4.92619E-03  1.95214E-02  2.01284E-02
  o   8   7.937415 -0.792584 -0.121446  9.24503E-04 -1.17785E-03  3.77752E-03
  f   9   3.706483 -0.753517 -0.082379  6.45047E-08 -5.67351E-08  2.63566E-07
 ne  10   7.420859 -0.549140  0.121998  3.54961E-04  3.49398E-04  1.45037E-03
 na  11   5.991353 -0.318647  0.352491  1.50415E-05  3.40182E-05  6.14598E-05
 mg  12   7.005051 -0.634949  0.036190  1.64115E-04  5.03475E-05  6.70573E-04
 al  13   5.894785 -0.575214  0.095924  1.41338E-05  1.11994E-05  5.77509E-05
 si  14   6.892396 -0.657604  0.013534  1.46314E-04  1.52672E-05  5.97839E-04
  p  15   4.834106 -0.635894  0.035244  1.41092E-06  4.21152E-07  5.76503E-06
  s  16   6.489565 -0.670434  0.000704  6.60689E-05 -9.92644E-07  2.69957E-04
 cl  17   4.577165 -0.652835  0.018303  8.93754E-07  1.32144E-07  3.65188E-06
 ar  18   5.769223 -0.670777  0.000361  1.56718E-05 -2.85159E-07  6.40349E-05
  k  19   4.418084 -0.661916  0.009222  6.83343E-07  4.77949E-08  2.79214E-06
 ca  20   5.618314 -0.671686 -0.000547  1.11076E-05 -2.96783E-07  4.53857E-05
 sc  21   2.456715 -0.593285  0.077853  8.58821E-09  5.60346E-09  3.50914E-08
 ti  22   4.241627 -0.668373  0.002766  5.57268E-07  2.44995E-09  2.27700E-06
  v  23   3.285422 -0.674578 -0.003439  6.55992E-08 -2.88509E-09  2.68038E-07
 cr  24   4.950559 -0.689441 -0.018302  3.09692E-06 -3.82079E-08  1.26540E-05
 mn  25   4.810011 -0.669989  0.001150  2.36747E-06 -2.57378E-08  9.67348E-06
 fe  26   6.868862 -0.671138  0.000000  2.75579E-04 -5.96954E-06  1.12602E-03
 co  27   4.416140 -0.453860  0.217278  1.02541E-06  1.63587E-06  4.18984E-06
 ni  28   5.559885 -0.640115  0.031024  1.42191E-05  3.71820E-06  5.80992E-05
 cu  29   3.864326 -0.385674  0.285465  3.10324E-07  6.07372E-07  1.26798E-06
 zn  30   4.017007 -0.612993  0.058145  4.53989E-07  2.23824E-07  1.85500E-06
 ga  31   2.618053 -0.461946  0.209192  1.93121E-08  2.99050E-08  7.89093E-08
 ge  32   3.058300 -0.521700  0.149438  5.54467E-08  7.73931E-08  2.26555E-07
 as  33   1.730360 -0.569640  0.101498  2.68763E-09  2.24262E-09  1.09817E-08
 se  34   2.818684 -0.521316  0.149822  3.47129E-08  5.05648E-08  1.41837E-07
 br  35   2.022030 -0.517970  0.153168  5.61047E-09  6.72736E-09  2.29244E-08
 kr  36   2.774397 -0.475603  0.195535  3.32683E-08  4.91345E-08  1.35934E-07
 rb  37   2.002567 -0.357433  0.313706  5.73815E-09  1.19996E-08  2.34461E-08
 sr  38   2.341420 -0.538580  0.132558  1.28358E-08  1.38080E-08  5.24472E-08
  y  39   1.609686 -0.560314  0.110824  2.41556E-09  2.18207E-09  9.86998E-09
 zr  40   1.932557 -0.597443  0.073695  5.21275E-09  3.22886E-09  2.12993E-08
 nb  41   0.796680 -0.613320  0.057819  3.88262E-10  1.90355E-10  1.58644E-09
 mo  42   1.208146 -0.731854 -0.060716  1.03406E-09  5.29662E-10  4.22518E-09
 ru  44   0.985299 -0.774701 -0.103563  6.52111E-10  1.49553E-10  2.66453E-09
 rh  45   0.389642 -0.670358  0.000780  1.68455E-10 -2.40963E-12  6.88306E-10
 pd  46   0.938168 -0.711832 -0.040694  6.16015E-10  9.21190E-11  2.51704E-09
 ag  47   0.530265 -0.669735  0.001403  2.44094E-10 -2.05513E-12  9.97369E-10
 cd  48   1.015553 -0.694448 -0.023309  7.77610E-10  1.01601E-10  3.17731E-09
 in  49   0.074920 -0.685080 -0.013942  9.10607E-11  2.39339E-12  3.72074E-10
 sn  50   1.352603 -0.717397 -0.046259  1.78440E-09  2.29293E-10  7.29104E-09
 sb  51   0.101326 -0.908674 -0.237536  1.02620E-10  2.59720E-12  4.19305E-10
 te  52   1.052427 -1.127573 -0.456434  9.60899E-10  7.73421E-11  3.92623E-09
  i  53   0.872462 -0.677538 -0.006399  6.31448E-10 -5.21558E-11  2.58010E-09
 xe  54   1.537142 -0.702858 -0.031720  3.01845E-09  8.67484E-11  1.23334E-08
 cs  55   0.408628 -0.671373 -0.000234  2.27285E-10 -5.42871E-12  9.28685E-10
 ba  56   1.530807 -0.649194  0.021945  3.11145E-09  5.87471E-10  1.27134E-08
 la  57   0.508458 -0.661542  0.009596  2.98937E-10  2.14380E-11  1.22146E-09
 ce  58   0.916394 -0.663606  0.007532  7.71405E-10  5.13702E-11  3.15196E-09
