#   col   Z       t [s]     A   elem     13Msun   15Msun    20Msun      25 Msun   30Msun      35 Msun
  203    1e-06   0.0e+00   48  Ti     2.20e-04   1.59e-04   1.85e-04   1.86e-04   1.95e-04   2.28e-04
  204    1e-06   0.0e+00   49  Ti     2.81e-06   5.38e-06   6.18e-06   8.09e-06   8.00e-06   9.56e-06
  205    1e-06   0.0e+00   50  Ti     1.03e-10   1.17e-10   1.61e-10   2.03e-10   3.32e-10   6.35e-10
  206    1e-06   0.0e+00   50  V      2.90e-11   3.82e-11   3.05e-11   2.08e-11   1.38e-11   1.86e-11
  207    1e-06   0.0e+00   51  V      3.96e-06   1.29e-05   1.09e-05   1.20e-05   9.78e-06   1.10e-05
  208    1e-06   0.0e+00   50  Cr     7.15e-06   4.39e-05   1.88e-05   2.10e-05   1.18e-05   1.31e-05
  209    1e-06   0.0e+00   52  Cr     1.10e-03   1.27e-03   2.13e-03   2.81e-03   3.29e-03   4.04e-03
  210    1e-06   0.0e+00   53  Cr     6.11e-05   1.16e-04   1.41e-04   1.82e-04   1.78e-04   2.17e-04
  211    1e-06   0.0e+00   54  Cr     6.72e-10   3.29e-09   8.84e-10   1.60e-09   1.47e-09   2.30e-09
  212    1e-06   0.0e+00   55  Mn     1.94e-04   5.54e-04   5.73e-04   6.16e-04   5.46e-04   6.33e-04
  213    1e-06   0.0e+00   54  Fe     6.25e-04   3.45e-03   2.05e-03   2.18e-03   1.42e-03   1.62e-03
  214    1e-06   0.0e+00   56  Fe     1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01   1.00e-01
  215    1e-06   0.0e+00   57  Fe     3.23e-03   3.13e-03   2.02e-03   1.65e-03   1.07e-03   8.15e-04
  216    1e-06   0.0e+00   58  Fe     3.61e-09   5.48e-09   7.29e-09   9.33e-09   3.22e-08   7.62e-08
  217    1e-06   0.0e+00   59  Co     1.80e-04   1.62e-04   5.36e-05   8.58e-06   7.12e-06   4.23e-06
  218    1e-06   0.0e+00   58  Ni     1.79e-03   1.90e-03   5.74e-04   3.76e-04   3.39e-04   2.93e-04
  219    1e-06   0.0e+00   60  Ni     3.36e-03   2.55e-03   1.68e-03   1.17e-03   4.26e-04   1.19e-04
  220    1e-06   0.0e+00   61  Ni     1.66e-04   1.14e-04   6.33e-05   3.60e-05   9.13e-06   2.12e-06
  221    1e-06   0.0e+00   62  Ni     7.89e-04   5.52e-04   1.94e-04   6.25e-05   1.29e-05   3.31e-06
